"File đánh giá: financial_statement.pdf","","",""
"Tên trang chứa bảng đánh giá","Ground Truth","Accuracy (%)",""
"page_2_table_1.csv","gt_page_2_table_1.csv","94.29",""
"page_3_table_1.csv","gt_page_3_table_1.csv","73.15",""
"page_4_table_1.csv","gt_page_4_table_1.csv","78.95",""
"page_5_table_1.csv","gt_page_5_table_1.csv","29.17",""
"page_6_table_1.csv","gt_page_6_table_1.csv","38.89",""
"page_7_table_1.csv","gt_page_7_table_1.csv","63.89",""
"page_9_table_1.csv","gt_page_9.csv","0","Note: dữ liệu ở các trang này chỉ thuần văn bản, không có số liệu gì cả, tuy nhiên mô hình vẫn trích xuất nên vẫn có ground truth để đối chiếu"
"page_9_table_2.csv","gt_page_9.csv","0",""
"page_10_table_1.csv","gt_page_10_table_1.csv","10",""
"page_11_table_1.csv","gt_page_11_table_1.csv","0",""
"page_12_table_1.csv","gt_page_12_table_1.csv","58.89",""
"page_13_table_1.csv","gt_page_13_table_1.csv","69.11",""
"page_14_table_1.csv","gt_page_14_table_1.csv","78.7",""
"page_15_table_1.csv","gt_page_15_table_1.csv","77.08",""
"page_16_table_1.csv","gt_page_16_table_1.csv","80",""
"page_17_table_1.csv","gt_page_17_table_1.csv","78.57",""
"page_18_table_1.csv","gt_page_18_table_1.csv","66.67",""
"page_19_table_1.csv","gt_page_19_table_1.csv","89.22",""
