0,1,2,3
19,DOANH THU HOẠT ĐỘNG TÀI CHÍNH,Từ 01/04/2024 đến 30/09/2024 VND 84 ?48 272 276,Mẫu B09 DN Từ 01/04/202 đến 30/09/2022 VNL 676 5Q0a55
,,,Mẫu B09 DN
,,Từ 01/04/2024 đến 30/09/2024,Từ 01/04/2022 đến 30/09/2022
,,VND,VNC
,"Cổ tức, lợi nhuận được chia",84.248.272.276,69.676.580.455
,"Lãi tiền gửi, tiền cho vay",7.775.467.413,17.725.092.972
,OUEDuf Tìquf,92.023.739.689,87.401.673.427
,,Từ 01/04/2024 đến 30/09/2024,Từ 01/04/2023 dến 30/09/2022
,,VND,VND
,Lãi tiên vay,15.390.221.025,18.198.152.445
,Dự phòng các khoản đầu tư tài chính dài hạn,23.091.058.427,31.112.518.218
,Chi phí tài chinh khác,,93.333.336
,CUI DUI,38.481.279.452,49.404.003.999
,,Từ 01/04/2024 đến 30/09/2024,Từ 01/04/2023 đến 30/09/2023
,,VND,VND
,Chi phí môi giới khách thuê văn phòng hàng,460.624.792,169.269.416
,CHLPHÍ QUẢN LÝ DOANH NGHIFP,460.624.792,169.269.416
,,Từ 01/04/2024 đến 30/09/2024,Từ 01/04/2023 đến 30/09/2023
,,VND,VND
,Chi phí quản lý doanh nghiệp,32.621.788.754,31.738.515.382
,,32.621.788.754,31.738.515.382
