0,1,2,3,4,5,6
,"PIlà cud, vật kiến trúc",móc thiết bị Máy,"Pnưong ten vạn tảỉ, truyền dẫn","Pnưong ten vạn tảỉ, truyền dẫn","Ihlet b!, dụng cụ quan",Cộng
,VND,VND,VND,VND,VND,VN
Iguyên giá,,,,,,
ố dư đầu kỳ,562.605.107.715,335.999.534.206,6.128.780.000,6.128.780.000,7.016.448.242,911.749.870.16
ô trong kỳ tẳng,1.527.483.644,211.355.329,,,57.330.000,1.796.168.97
Mua trong kỳ,,,,,57 330 000,57.330.00
Đầu tư XDCB hoàn thành,1.527.483.644,211.355.329,,,,1.738.838.97
ố dư cuối kỳ,564.132.591.359,336.210.889.535,6.128.780.000,6.128.780.000,7.073.778.242,913.546.039.13
'iá trị hao mòn lũy kế,,,,,,
ố dư đầu kỳ,91.366.058.637,163.299.682.887,3.720.629.189,3.720.629.189,6.764.241.326,265.150.612.03
Khấu hao trong kỳ,11.528.513.280,10.983.707.701,312.313.149,312.313.149,53.014.138,22.877.548.26
ố cuối kỳ,102.894.571.917,174.283.390.588,4.032.942.338,4.032.942.338,6.817.255.464,288.028.160.30
'iá trị còn lại,,,,,,
ại ngày đầu kỳ,471.239.049.078,172.699.851.319,2.408.150.811,2.408.150.811,252.206.916,646.599.258.12
'ai ngày cuối kỳ,461.238.019.442,161.927.498.947,2.095.837.662,2.095.837.662,256.522.778,625.517.878.82
