0,1,2,3,4
,BẢNG CÂ Tai ngày 3~,NĐỐI KẾ 0 09 năn (tiếp theo) tháng,TOÁN 2024,Mâu B01 DN
Mã,NGUỎN VÓN,Thuyết,30/09/2024,31/03/2024
sô,,minh,VND,VND
100,C. NỢ PHẢI TRẢ,,1.097.869.606.831,1.011.360.262.436
310,LNơ ngắn han,,365 037 296 049,480 247 598 07
311,Phải trả nguời bán ngắn han,,93 689 364 236,103 810 127 214
312,2. Nguời mua trả tiền trước ngắn han,,26 784 000,
313,3. Thuế và các khoản phải nôp Nhà nưrớc,,425 470 600,294 068 602
314,Phài trả ngwời lao đông,,680 730 R88,788 401 501
315,5. Chi phí phải trà ngắn han,,10 197 089 639,17 634 078 210
318,Doanh thu chira thIrc hiên noắn han,,657 !24 O65,731 737 7Q4
319,Phải trả noẳn han khác,,12 003 518 063,91 020 079 (77
320,10 Vav và no thuê tài chính no ặn han,,216 20Q Q60 19 4,224 071 00on90
322,12 Ouũ khen thuno nhúc Ioi,,23 078 ?A4 524,'uuy .U~u 5 016 (0? Oc <
330,II. Nợ dài hạn,,732.832.310.782,531.112.664.364
33u,Il. NỢ dal hạn,,732.832.310.782,531.112.664.364
337,7. Phải trà dài hạn khác,14,41.810.206.096,28.735.831.746
29 /,Flldl Ud Udl Ildl Kldc,,41.810.206.096,28./35.831.746
338,8. Vay và nợ thuê tài chính dài hạn,10,679.431.807.533,498.958.710.662
290,Yay va IlỢ llUC ldl CllIIII Udl nlạn,,6/9.431.80/.355,498.958.710.662
341,11. Thuế thu nhập hoãn lại phải trả,,1.647.247.965,1.618.249.795
343,13. Quỹ triển khoa học và nghệ phát công,,9.943.049.188,1.799.872.161
400,D. VÓN CHỦ SỞ HỮU,,2.234.814.274.839,2.187.143.567.243
410,Vốn chủ sở hữu,16,2.234.814.274.839,2.187.143.567.243
411,Vốn góp của chủ sở hữu,,1.904.392.960.000,1.900.269.960.000
lla,Cổ phiếu có quyền biểu quyết phổ thông,,1.904.392.960.000,1.900.269.960.000
412,Thặng dư vốn cổ phần,,27.062.540.400,27.062.540.400
415,5.Cổ phiếu quỹ,,(418.000.000),
421,11.Lợi nhuận sau thuế chua phối phân,,303.776.774.439,259.811.066.843
'21a,LNST chưa phân phối lũy kế đến cuối kỳ trướ,,213.207.159.956,3.900.473.026
'21b,LNST chưa phân kỳ này phối,,90.569.614.483,255.910.593.817
440,TỔNG CỘNG NGUÒN VÓN,,3.332.683.881.670,3.198.503.829.679
