0,1,2,3,4,5
,,Từ ngày 01/04/2024,ến ngày 30/09/2024,,
Mã số,CHỈ TIÊU,Từ 01/07/2024 đến 30/09/2024,Từ 01/07/2023 đến 30/09/2023,Lũy kế từ 01/04/2024 dến 30/09/2024,Lũy kế từ 01/04/2023 dến 30/09/2023
01,Doanh thu bán hàng,60.885.907.945,54.402.765.070,121.152.296.722,106.439.924.184
,và_cung_cấp dịch vụ,,,,
02,2. Các khoản trừr doanh thu giảm,,,,
10,3. Doanh thu thuẩn về bán hàng,60.885.907.945,54.402.765.070,121.152.296.722,106.439.924.184
,và cung_câp dịch vụ,,,,
1l,4. Giá vốn bán hàng,25.789.596.176,24.921.840.976,51.189.011.195,49.922.651.802
20,5. Lợi nhuận gộp về bán hàng,35.096.311.769,29.480.924.094,69.963.285.527,56.517.272.382
,và cung cấp dịch vụ,,,,
21,6. Doanh thu hoat tài chính dộng,28.160.282.361,43.644.614.183,92.023.739.689,87 401 673 427
22,7. Chi phí tài chính,30 992 971 Qo5,19 761 700 Q14,20 401 970 ^59,
23,Trong đó: Chi phí lãi vav,901.912.668,1 605 524 928,15 390 221 025,18 20/ 485 781
25,Chi phí bán hàng,228.730.286,10.227.266,460.624.792,69 269 416
26,9. Chi phí quản lý doanh nghiệp,15.394.823.238,18.320.981.311,32.621.788.754,31.738.515.382
30,10. Lợi nhuận thuần từ hoạt KD dộng,16.640.069.511,11.929.619.886,90.423.332.218,62.607.157.012
31,11. Thu nhập khác,200.510.819,58.545.725,175.280.435,75.981.659
32,12. Chi phí khác,,,,9.129.721
40,13. Lợi nhuận khác,200.510.819,58.545.725,175.280.435,66.851.938
50,14 lợi nhuận kế toán trước thuế Tông,16.840.580.330,11.988.165.611,90.598.612.653,62.674.008.950
51,15. Chi thuế TNDN hiện hành phí,(2.756.601.135),(3.325.454.722),,
52,"16, Chi phí thuế TNDN hoãn lại",28.998.170,28.998.170,28.998.170,28.998.170
60,17. Lợi nhuận sau thuế TNDN,19.568.183.295,15.284.622.163,90.569.614.483,62.645.010.780
