0,1
đến 30/09/2024,30/09/2023
VNĐ 124 0o8 449 542,VNĐ 07 687 817 030
(52 101 411,(60 910 107 312
18.397.594.771,(17.509.962.894)
(14.155.163.710),(23.514.202.534
,(41.845.971
18.690.311.696,35.113.250.093
(45.977.488.113,(36 406 252 U0)
12.157.103.068,(5.581.392.789)
(103.363.073.498),(530.612.465.164)
,(35 700
32.000.000.000,180.600.000.000
(55.000.000.000),(46.968.000.000)
82.228.609.222,30.175 274 922
(44.134.464.276),(402.505.190.242)
4.123.000.000,
214.027.610.284,510.531.243.262
(142.137.462.309),(126.393.398.231
(55.098.870),(38.094.240)
75.958.049.105,384.099.750.791
43.980.687.897,(23.986.832.240)
12.399.440.394,46.558.963.158
56 380 128 291,2) 57) 130 018
