0,1,2
,,Mẫu BO9 DN
ty TNHH CMC Đà Công Nẵng,"6- Tòa nhà Thành Lợi IL, Số 01 Lê Đình Lý- Thành Phố Đà Tầng Nẵng","Sản xuất mềm, cung cấp dịch vụ và pháp mềm và nội xuất bản mềm; dịch vụ xử lý dữ liệu và các liên quan dến CSDL; gia và XK êm phần giải phần dung phẩn hoạt dộng phầnl công"
ty TNHH CMC Education Công,"CMC Tower; Số 11 Phố Tân; Phường Dịch Vọng Hậu, Quận Cầu Giấy; Hà Nội Duy",DALLL Đào tao Đại học
ty Cổ CMC Consulting phần [Công,8 Tòa nhà CMC Tầng Tower,Sản xuất mềm; cung cấp các dịch Vụ mềm ERP của SAP ; đào tạo và cung cấp nhân lực tư vấn phần mềm cao cấp. phần phần
ty TNHH CMC Blue France [Công,Cộng Hòa Pháp,cấp dịch vụ thuê ngoài nghệ tin (ITO) và dịch vụ thuê ngoài tác nghiệp (BPO) Cung công thông
ty TNHH An ninh An toàn Thông tin CMC [Công,15 Tòa nhà CMC Tower Tầng,"cấp các giải pháp; mềm; dịch Vụ bào mật hệ an ninh an toàn tin Cung phần thống, thông"
ty TNHH Hạ số CMC AI (** tầng [Công,"Lô Vb.27-28-29, khu nghiệp trong khu chế xuất Tân Thuận; Phường Tân Thuận Quận 7, TP Hồ Chí Minh Công Đông;",Hạ số tầng
"ty liên doanh, liên kết [Công",Địa chỉ,Hoạt động kinh doanh chính
ty Cổ NetNam phẩn Công,Hoàng Quổc Việt Cầu Giấy Hà Nôi,cấp các dịch vụ về mạng Internet Cung
ty con gián tiếp thông qua các [Công,hoản đầu tư của ty con trực tiếp: Công,
Công ty Cỗ CMC Japan phẩn,Yokohama World Business Support Center WBC),"Xuẩt bàn mềm, lập trình máy tính và cung cấp dịch vụ nghệ tin phần công thông"
CMC APAC Private Ltd,200 Jalan Sultan #08-02 Textile Centre Singapore ( 199018),Xuất bản phần mềm; lập trinh máy tính và cung cấp dịch vụ nghệ tin. công thông
ty Cổ phần Đầu tư Đại học CMC Công,"CMC Tower, Số 11 Phố Tân Phường Dịch Quận Cầu Giấy; Hà Nội Duy Vọng Hậu,",Đào tạo Đại học
Đai học nghệ CMC Trường Công,"Tây Mỗ, Quận Nam Từ Liêm; TP Hà Nội",Đào tạo Đại học
